Device time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Short term fuel trim (%)","Oxygen sensor 2 Bank 1 Voltage (V)","Throttle position (%)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
23-11-2020 10:04:20.411,,,,,,,,,,,,,,,,,,,0.04296875,15.0215184,,,,,,
23-11-2020 10:04:20.970,,,,,,,,,,,1,,,,,,,,,,,,22.7450980392157,,,
23-11-2020 10:04:21.249,,,,,,7.02882084435856,,,,,,,,,,20.2248462445714,,21.41,,,,,,,,
23-11-2020 10:04:21.529,,,,,50.2058631739897,,,,,,,,,,,,,,,,,,,,14,
23-11-2020 10:04:21.807,,,,,,,,,,1759,,,,,,,,,,,,,,,,
23-11-2020 10:04:22.088,,,,,,,,,,,,,,,,,,,-0.13671875,14.2611168,,,,,,
23-11-2020 10:04:22.641,,,,,,,,,,,1,,,,,,,,,,,,24.7058823529412,,,
23-11-2020 10:04:22.916,,,,0.0209568998088331,,8.02603860397544,,,,,,0.00370952401589009,0.0603577636689876,0.003746619256049,0.06,23.094257246389,,23.21,,,,,,,,
23-11-2020 10:04:23.212,,,,,,,,,,,,,,,,,19,,,,,,,,,
23-11-2020 10:04:23.490,,,,,33.4418275165644,,0.0130694326666667,0.0130694326666667,,,,,,,,,,,,,,,,,24,
23-11-2020 10:04:23.768,,,,,,,,,,1565,,,,,,,,,,,,,,,,
23-11-2020 10:04:24.002,,,,,,,,,,,,,,,,,,,-0.1015625,14.3758944,,,,,,
23-11-2020 10:04:24.559,,,,,,,,,,,1,,,,,,,,,,,,21.1764705882353,,,
23-11-2020 10:04:24.835,47.6666783723392,481.107372378727,,-0.275085406818957,,4.72709123291568,,,,,,0.00622976443430943,0.062878004087407,0.00629206207865253,0.06,13.6018110984455,,13.78,,,,,,,,
23-11-2020 10:04:25.123,,,53.8246514861036,,18.9083649316627,,0.0244082444722222,0.0244082444722222,,,,,,,,,,,,,,,,,25,
23-11-2020 10:04:25.399,,,,,,,,,,1459,,,,,,,,,,,,,,,,
23-11-2020 10:04:25.676,,,,,,,,,,,,,,,,,,,0.02734375,14.9354352,,,,,,
23-11-2020 10:04:26.258,,,,,,,,,,,1,,,,,,,,,,,,23.1372549019608,,,
23-11-2020 10:04:26.538,38.8065066702174,270.893003991096,,0.179612515615312,,6.8547103462898,,,,,,0.00947198701919588,0.0661202266722934,0.00956670688938783,0.06,19.7238577955867,,20.76,,,,,,,,
23-11-2020 10:04:26.816,,,41.1759302339486,,23.6369322285855,,0.0380696111944444,0.0380696111944444,,,,,,,,,,,,,,,,,29,
23-11-2020 10:04:27.096,,,,,,,,,,1784,,,,,,,,,,,,,,,,
23-11-2020 10:04:27.384,,,,,,,,,,,,,,,,,,,-0.09765625,14.3902416,,,,,,
23-11-2020 10:04:27.938,,,,,,,,,,,1,,,,,,,,,,,,28.2352941176471,,,
23-11-2020 10:04:28.214,38.6164081478874,187.418137074828,,0.526676262370866,,11.2302130807904,,,,,,0.0147011164391605,0.071349356092258,0.0148481276035521,0.06,32.3140022888844,,32.77,,,,,,,,
23-11-2020 10:04:28.491,,,39.4452989455362,,31.195036335529,,0.0547891991944444,0.0547891991944444,,,,,,,,,,,,,,,,0.877784134371285,36,
23-11-2020 10:04:28.772,,,,,,,,,,1997,,,,,,,,,,,,,,,,
23-11-2020 10:04:29.048,,,,,,,,,,,,,,,,,,,0.046875,15.0502128,,,,,,
23-11-2020 10:04:29.601,,,,,,,,,,,1,,,,,,,,,,,,29.4117647058824,,,
23-11-2020 10:04:29.882,36.2647737216259,139.657852076459,,0.416161874799851,,11.1571716925609,,,,,,0.0198691791117562,0.0765174187648537,0.0200678709028737,0.06,32.1038317810363,,34.05,,,,,,,,
23-11-2020 10:04:30.159,,,40.5845943316022,,25.3572083921839,,0.0751758316388889,0.0751758316388889,,,,,,,,,,,,,,,,0.833091299483551,44,
23-11-2020 10:04:30.438,,,,,,,,,,2327,,,,,,,,,,,,,,,,
23-11-2020 10:04:30.725,,,,,,,,,,,,,,,,,,,-0.0390625,14.5911024,,,,,,
23-11-2020 10:04:31.292,,,,,,,,,,,1,,,,,,,,,,,,27.0588235294118,,,
23-11-2020 10:04:31.566,32.6454961314926,107.999820012085,,0.0513327780245592,,9.98732127308354,,,,,,0.0245415232094908,0.0811897628625884,0.0247869384415857,0.06,28.7376846865251,,29.55,,,,,,,,
23-11-2020 10:04:31.843,,,42.483055883092,,19.9746425461671,,0.0985666691388889,0.0985666691388889,,,,,,,,,,,,,,,,1.03339262774889,50,
23-11-2020 10:04:32.134,,,,,,,,,,2004,,,,,,,,,,,,,,,,
23-11-2020 10:04:32.410,,,,,,,,,,,,,,,,,,,0.04296875,15.0215184,,,,,,
23-11-2020 10:04:32.961,,,,,,,,,,,1,,,,,,,,,,,,23.1372549019608,,,
23-11-2020 10:04:33.238,27.6427175185773,85.1147211360225,,-0.271129834780924,,5.82397392708645,,,,,,0.0272465059175337,0.0838947455706312,0.0275189709767091,0.06,16.7579996440307,,17.74,,,,,,,,
23-11-2020 10:04:33.516,,,44.405155106282,,10.7851369020119,,0.123665209138889,0.123665209138889,,,,,,,,,,,,,,,,1.03651792453681,54,
23-11-2020 10:04:33.825,,,,,,,,,,1591,,,,,,,,,,,,,,,,
23-11-2020 10:04:34.101,,,,,,,,,,,,,,,,,,,-0.0078125,14.7345744,,,,,,
23-11-2020 10:04:34.652,,,,,,,,,,,1,,,,,,,,,,,,15.6862745098039,,,
23-11-2020 10:04:34.928,22.93084370754,68.7385854706059,,-0.64071458218438,,2.36625453020601,,,,,,0.0283574758282411,0.0850057154813386,0.0286410505865235,0.06,6.80870022279028,,7.07,,,,,,,,
23-11-2020 10:04:35.207,,,45.9339498767934,,4.30228096401093,,0.149494251083333,0.149494251083333,,,,,,,,,,,,,,,,0.785850722989696,55,
23-11-2020 10:04:35.485,,,,,,,,,,1583,,,,,,,,,,,,,,,,
23-11-2020 10:04:35.763,,,,,,,,,,,,,,,,,,,1.6953125,29.38261725,,,,,,
23-11-2020 10:04:38.257,,,,,,,,,,,0,,,,,,,,,,,,16.078431372549,,,
23-11-2020 10:04:38.531,18.9689406935345,56.8621969509406,,-0.687553917245771,,0,,,,,,0.0283574758282411,0.0850057154813386,0.0286410505865235,0.06,0,,6.15,,,,,,,,
23-11-2020 10:04:38.808,,,47.8303272116868,,0,,0.203513307083333,0.203513307083333,,,,,,,,,,,,,,,,,54,
23-11-2020 10:04:39.086,,,,,,,,,,1535,,,,,,,,,,,,,,,,
23-11-2020 10:04:39.364,,,,,,,,,,,,,,,,,,,2.5234375,29.38261725,,,,,,
23-11-2020 10:04:39.916,,,,,,,,,,,0,,,,,,,,,,,,15.6862745098039,,,
